,hour,load_roll_mean_1d,load_lag24,load_roll_std_1d,temp3,dayofy,temp_gradient,temp2,load_roll_mean_2d,temp1,load
2017-01-08 15:00:00,15,89785.94986979167,81276.7734375,4754.63959872976,23.0,8.0,-0.0500000000000007,19.2,85487.20979817708,23.1,89201.0
2017-01-08 16:00:00,16,90134.53873697916,80933.8671875,4368.425176987471,23.0,8.0,-0.0500000000000007,19.2,85661.50423177083,23.1,89300.0
2017-01-08 17:00:00,17,90525.29069010416,82651.953125,4079.915717083833,23.0,8.0,-0.0500000000000007,19.2,85856.88020833333,23.1,92030.0
2017-01-08 18:00:00,18,91001.74967447916,85695.984375,4158.366433110201,23.0,8.0,-0.0500000000000007,19.2,86095.10970052083,23.1,97131.0
2017-01-08 19:00:00,19,91516.50748697916,86496.8125,4337.265814805073,23.0,8.0,-0.0500000000000007,19.2,86352.48860677083,23.1,98851.0
2017-01-08 20:00:00,20,92028.5986328125,86496.8125,4443.080338794345,23.0,8.0,-0.0500000000000007,19.2,86608.5341796875,23.1,98787.0
2017-01-08 21:00:00,21,92514.51236979169,85440.0703125,4327.395796855236,23.0,8.0,-0.0500000000000007,19.2,86851.49104817708,23.1,97102.0
2017-01-08 22:00:00,22,92806.00423177084,86984.1953125,4171.487993856484,23.0,8.0,-0.0500000000000007,19.2,86997.23697916667,23.1,93980.0
2017-01-08 23:00:00,23,92643.56380208331,94569.5703125,4175.73201194451,40.8,8.0,0.5,31.4,87111.35465494792,39.8,90671.0
2017-01-09 00:00:00,0,92684.43294270831,86746.140625,4119.92973150779,40.8,9.0,0.5,31.4,87369.11051432292,39.8,87727.0
2017-01-09 01:00:00,1,92676.25423177084,86679.2890625,4132.544720599314,40.8,9.0,0.5,31.4,87589.97835286458,39.8,86483.0
2017-01-09 02:00:00,2,92673.0087890625,86101.890625,4137.9593358522925,40.8,9.0,0.5,31.4,87813.31282552083,39.8,86024.0
2017-01-09 03:00:00,3,92658.45833333331,85471.2109375,4164.910521290982,40.8,9.0,0.5,31.4,88030.99479166667,39.8,85122.0
2017-01-09 04:00:00,4,92460.875,90246.0,4390.6937682218895,40.8,9.0,0.5,31.4,88254.8330078125,39.8,85504.0
2017-01-09 05:00:00,5,92302.5,91011.0,4512.138112671689,40.8,9.0,0.5,31.4,88517.41243489583,39.8,87210.0
2017-01-09 06:00:00,6,92273.625,92831.0,4510.826183002316,40.8,9.0,0.5,31.4,88817.15055338542,39.8,92138.0
2017-01-09 07:00:00,7,92432.58333333331,95141.0,4680.299069937325,40.8,9.0,0.5,31.4,89266.91617838542,39.8,98956.0
2017-01-09 08:00:00,8,92606.875,97185.0,4935.878982665579,40.8,9.0,0.5,31.4,89676.3427734375,39.8,101368.0
2017-01-09 09:00:00,9,92689.29166666669,97789.0,5041.552042594262,40.8,9.0,0.5,31.4,90024.32438151042,39.8,99767.0
2017-01-09 10:00:00,10,92753.95833333331,96812.0,5106.270267197436,40.8,9.0,0.5,31.4,90311.99462890624,39.8,98364.0
2017-01-09 11:00:00,11,92824.91666666669,95008.0,5150.595330019727,40.8,9.0,0.5,31.4,90568.0751953125,39.8,96711.0
2017-01-09 12:00:00,12,92894.58333333331,93208.0,5167.28283586208,40.8,9.0,0.5,31.4,90804.04671223958,39.8,94880.0
2017-01-09 13:00:00,13,92950.625,91834.0,5162.571627568987,40.8,9.0,0.5,31.4,91023.37532552084,39.8,93179.0
2017-01-09 14:00:00,14,93015.125,90329.0,5138.005282990775,40.8,9.0,0.5,31.4,91235.44938151042,39.8,91877.0
2017-01-09 15:00:00,15,93075.41666666669,89201.0,5099.649390477219,40.8,9.0,0.5,31.4,91430.68326822916,39.8,90648.0
2017-01-09 16:00:00,16,93103.91666666669,89300.0,5079.504177417649,40.8,9.0,0.5,31.4,91619.22770182292,39.8,89984.0
2017-01-09 17:00:00,17,93099.29166666669,92030.0,5080.57493733122,40.8,9.0,0.5,31.4,91812.29117838542,39.8,91919.0
2017-01-09 18:00:00,18,93024.79166666669,97131.0,5031.759602150943,40.8,9.0,0.5,31.4,92013.27067057292,39.8,95343.0
2017-01-09 19:00:00,19,92901.45833333331,98851.0,4917.72874385993,40.8,9.0,0.5,31.4,92208.98291015624,39.8,95891.0
2017-01-09 20:00:00,20,92719.25,98787.0,4768.942424461008,40.8,9.0,0.5,31.4,92373.92431640624,39.8,94414.0
2017-01-09 21:00:00,21,92503.125,97102.0,4678.358838147887,40.8,9.0,0.5,31.4,92508.81868489584,39.8,91915.0
