,hour,load_roll_mean_1d,load_lag24,load_roll_std_1d,temp3,dayofy,temp_gradient,temp2,load_roll_mean_2d,temp1,load
2017-10-14 06:00:00,6,76004.95833333333,67016.0,8542.973133208314,65.7,287.0,2.400000000000002,61.1,75943.45833333333,60.9,63420.0
2017-10-14 07:00:00,7,75698.95833333333,72890.0,8787.42814667524,65.7,287.0,2.400000000000002,61.1,75766.64583333333,60.9,65546.0
2017-10-14 08:00:00,8,75338.0,75871.0,8956.353931100535,65.7,287.0,2.400000000000002,61.1,75568.91666666667,60.9,67208.0
2017-10-14 09:00:00,9,75058.875,76714.0,9015.796370875776,65.7,287.0,2.400000000000002,61.1,75413.95833333333,60.9,70015.0
2017-10-14 10:00:00,10,74857.45833333333,78223.0,8996.010187997028,65.7,287.0,2.400000000000002,61.1,75306.5625,60.9,73389.0
2017-10-14 11:00:00,11,74706.91666666667,79841.0,8939.038402310465,65.7,287.0,2.400000000000002,61.1,75237.14583333333,60.9,76228.0
2017-10-14 12:00:00,12,74605.66666666667,81183.0,8876.036305286496,65.7,287.0,2.400000000000002,61.1,75200.95833333333,60.9,78753.0
2017-10-14 13:00:00,13,74525.91666666667,82709.0,8808.404252248241,65.7,287.0,2.400000000000002,61.1,75180.4375,60.9,80795.0
2017-10-14 14:00:00,14,74451.58333333333,84398.0,8728.638814728301,65.7,287.0,2.400000000000002,61.1,75178.79166666667,60.9,82614.0
2017-10-14 15:00:00,15,74400.5,85352.0,8665.430429110238,65.7,287.0,2.400000000000002,61.1,75202.5,60.9,84126.0
2017-10-14 16:00:00,16,74365.625,85970.0,8618.39988080417,65.7,287.0,2.400000000000002,61.1,75245.3125,60.9,85133.0
2017-10-14 17:00:00,17,74348.83333333333,85975.0,8595.158559717047,65.7,287.0,2.400000000000002,61.1,75298.04166666667,60.9,85572.0
2017-10-14 18:00:00,18,74342.625,84880.0,8587.27130225247,65.7,287.0,2.400000000000002,61.1,75338.79166666667,60.9,84731.0
2017-10-14 19:00:00,19,74364.25,83923.0,8613.060912510677,65.7,287.0,2.400000000000002,61.1,75355.54166666667,60.9,84442.0
2017-10-14 20:00:00,20,74367.625,83510.0,8616.815510902134,65.7,287.0,2.400000000000002,61.1,75340.91666666667,60.9,83591.0
2017-10-14 21:00:00,21,74371.16666666667,80815.0,8619.59773431799,65.7,287.0,2.400000000000002,61.1,75318.1875,60.9,80900.0
2017-10-14 22:00:00,22,74391.16666666667,77456.0,8627.619797043062,65.7,287.0,2.400000000000002,61.1,75304.72916666667,60.9,77936.0
2017-10-14 23:00:00,23,74401.91666666667,73673.0,8626.846755871224,65.7,287.0,2.400000000000002,61.1,75303.47916666667,60.9,73931.0
2017-10-15 00:00:00,0,74453.125,69742.0,8601.593847818935,52.6,288.0,0.1500000000000021,47.3,75336.39583333333,52.3,70971.0
2017-10-15 01:00:00,1,74513.66666666667,66538.0,8548.410666758273,52.6,288.0,0.1500000000000021,47.3,75369.375,52.3,67991.0
2017-10-15 02:00:00,2,74583.08333333333,64154.0,8467.004942033289,52.6,288.0,0.1500000000000021,47.3,75410.54166666667,52.3,65820.0
2017-10-15 03:00:00,3,74641.25,62769.0,8386.73037420278,52.6,288.0,0.1500000000000021,47.3,75439.64583333333,52.3,64165.0
2017-10-15 04:00:00,4,74691.04166666667,61971.0,8311.446515024427,52.6,288.0,0.1500000000000021,47.3,75454.60416666667,52.3,63166.0
2017-10-15 05:00:00,5,74734.95833333333,62142.0,8244.773155733454,52.6,288.0,0.1500000000000021,47.3,75444.875,52.3,63196.0
2017-10-15 06:00:00,6,74740.58333333333,63420.0,8236.760042198863,52.6,288.0,0.1500000000000021,47.3,75372.77083333333,52.3,63555.0
2017-10-15 07:00:00,7,74722.66666666667,65546.0,8258.069848529898,52.6,288.0,0.1500000000000021,47.3,75210.8125,52.3,65116.0
2017-10-15 08:00:00,8,74694.95833333333,67208.0,8285.450345815927,52.6,288.0,0.1500000000000021,47.3,75016.47916666667,52.3,66543.0
2017-10-15 09:00:00,9,74636.54166666667,70015.0,8324.730359802417,52.6,288.0,0.1500000000000021,47.3,74847.70833333333,52.3,68613.0
2017-10-15 10:00:00,10,74514.91666666667,73389.0,8364.975645988543,52.6,288.0,0.1500000000000021,47.3,74686.1875,52.3,70470.0
2017-10-15 11:00:00,11,74350.04166666667,76228.0,8368.738154736759,52.6,288.0,0.1500000000000021,47.3,74528.47916666667,52.3,72271.0
2017-10-15 12:00:00,12,74139.66666666667,78753.0,8316.542041993334,52.6,288.0,0.1500000000000021,47.3,74372.66666666667,52.3,73704.0
